,Sludinājumi,Iela,Ist.,m2,Stāvs,Sērija,"Cena, m2",Cena,URL,Region
24,"Pārdod izremontētu, siltu, sulainu divistabu dzīvokli. 
Dzīvokl",Tirzas 3,2,45,3/5,Hrušč.,"1,222 €","55,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/yugla/afmxh.html,yugla
25,"Pārdodu izcilu četristabu dzīvokli ar pārdomātu plānojumu. 
Trī",Juglas 10,4,183,8/10,Jaun.,"1,038 €","190,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/yugla/chbjl.html,yugla
26,"Продаётся 3-х комнатная квартира, в живописном месте с видом на ",Malienas 70,3,60,5/5,LT proj.,817 €,"49,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/yugla/cjjfx.html,yugla
27,Продается 4-х комнатная квартира спецпроект в хорошем состоянии ,Vangažu 12,4,94,5/12,Čehu pr.,"1,011 €","95,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/yugla/gjkdb.html,yugla
28,Īpašnieks bez starpniekiem pārdod mēbelētu dzīvokli ar visu nepi,Kvēles 25,2,47,5/5,Hrušč.,894 €,"42,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/yugla/dhgih.html,yugla
29,"Pārdodas 1/3 daļa mājas atsevišķs dzīvoklis, zaļā privātmāju raj",Brīvības 444,1,33,1/1,Priv. m.,758 €,"25,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/yugla/bfmjh.html,yugla
0,"Хозяин продает срочно, состояние -нужна косметика",Kvēles 23,1,32,5/5,Hrušč.,750 €,"24,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/yugla/doobg.html,yugla
1,"Продает хозяин 2-х комнатную квартиру, комнаты изолированные, ст",Brīvības 353,2,42,1/5,Hrušč.,762 €,"32,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/yugla/djfeg.html,yugla
2,Ar mebelem un tehniku,Vangažu 7,1,29,11/12,Čehu pr.,"1,341 €","38,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/yugla/ghjbc.html,yugla
3,"Saimnieks, bez starpniekiem pārdod komfortablu 3 –istabu dzīvokl",Juglas 10,3,111,2/9,Jaun.,"1,482 €","164,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/yugla/nlhbl.html,yugla
4,Редкий чешский проект. квартира с очень хорошей планировкой - дв,Vangažu 35,2,48,6/9,Čehu pr.,979 €,"47,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/yugla/fjcjn.html,yugla
5,Tiek pārdots kompakts trīs istabu dzīvoklis zaļā Juglas nostūrī.,Kvēles 21,3,57,1/5,Hrušč.,860 €,"49,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/yugla/eedpj.html,yugla
6,Pārdodu saulainu un ļoti siltu 3-istabu dzīvokli. Stikla pakešu ,Juglas 29,3,57,4/5,Hrušč.,958 €,"54,600  €",https://www.ss.com/msg/lv/real-estate/flats/riga/yugla/conlx.html,yugla
0,Продаю однокомнатную квартиру. Есть мебель. Отопление печное или,Gulbju 1a,1,12,1/2,Specpr.,843 €,"10,110  €",https://www.ss.com/msg/lv/real-estate/flats/riga/katlakalns/hjopb.html,katlakalns
1,Īpašnieks pārdod saulainu divistabu dzīvokli 9. stāvā ar daļēji ,Bauskas 187,2,57,9/9,Specpr.,"1,088 €","62,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/katlakalns/hcmpc.html,katlakalns
2,Saimnieks piedāvājiet pirkt 2 istabu dzīvokli ar lielisku atraša,Bauskas 190a,2,46,1/5,Hrušč.,"1,522 €","70,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/katlakalns/hnkjj.html,katlakalns
0,"Продается теплая, не угловая квартира с тремя большими комнатами",Aglonas 16,3,60,4/5,LT proj.,942 €,"56,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ahomd.html,kengarags
1,Pārdod plašu 2 istabu dzīvokli ar individuālu siltuma skaitītāju,Prūšu 4,2,63,2/5,Jaun.,"1,254 €","79,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/cndcx.html,kengarags
2,Remontējams divistabu dzīvoklis labā vietā Ķengaragā ar skaistu ,Maskavas 266/6,2,45,4/5,LT proj.,888 €,"39,950  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ekpxk.html,kengarags
3,"Продаётся квартира возле променада, после ремонта. Светлая, тёпл",Maskavas 260,1,35,3/5,LT proj.,943 €,"33,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/afpng.html,kengarags
4,"Земля под домом приватезированная, чистый подъезд, стеклопакеты,",Maskavas 252k5,2,48,3/5,LT proj.,771 €,"37,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/anhhp.html,kengarags
5,Pārdošanai tiek piedāvāts gaišs un silts divistabu dzīvoklis ar ,Višķu 15,2,48,1/5,LT proj.,833 €,"40,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/idpph.html,kengarags
6,Piedāvāju tikko izremontētu divistabu dzīvokli ķieģeļu Hruščova ,"Prūšu 22, k-3",2,42,2/5,Hrušč.,"1,093 €","45,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ghffd.html,kengarags
7,Продается 2-ух комнатная квартира с лоджией(новый литовский прое,Maskavas 321,2,49,1/5,LT proj.,953 €,"46,700  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/fdxod.html,kengarags
8,"Земля и квартира собственность. 
Светлые изолированные комнаты.",Maskavas 281,2,45,4/12,Čehu pr.,867 €,"39,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/glmeo.html,kengarags
9,Трехкомнатная квартира (литовский проект) с улучшенной планировк,Maskavas 268/7,3,59,4/5,LT proj.,"1,008 €","59,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/dlehx.html,kengarags
10,"Īpašnieks pārdot dzīvokli. Zeme īpašumā. Kāpņu telpa slēdzama, a",Aviācijas 2c,1,35,6/12,Specpr.,994 €,"34,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/nkipj.html,kengarags
11,"Izcīls planojums - plaša istaba, liela virtuve un ļoti liela lod",Maskavas 317,1,30,2/12,M. ģim.,997 €,"29,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/fbjkm.html,kengarags
12,"Pārdodu 2 istabu dzīvokli:
Jaunais projekts Prūšu ielā 4.
Zeme",Prūšu 4,2,43,2/5,Jaun.,"1,245 €","53,550  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ddgdj.html,kengarags
13,"Tiek pārdots gaišs divu istabu dzīvoklis Ķengaragā. 

Lieliska",Aglonas 29,2,42,4/5,Hrušč.,762 €,"32,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/hgjdh.html,kengarags
14,Продаётся 1 комнатная квартира в кирпичном доме на 10 этаже. Зем,Kaņiera 14,1,37,10/12,M. ģim.,924 €,"34,200  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/affox.html,kengarags
15,"Дом хорошо расположен, тихое место, перед домом большая парковка",Maltas 17,3,54,4/5,LT proj.,769 €,"41,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/cmecp.html,kengarags
16,Отремонтированная 3-х комнатная квартира на улице Salaspils 18 к,Salaspils 18 к-1,3,60,3/5,LT proj.,967 €,"58,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/amkfn.html,kengarags
17,"Piedāvājam iegādāties 2-istabu dzīvokli Ķengaragā. 

Divas izo",Rasas 30,2,48,1/5,LT proj.,750 €,"36,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/abloo.html,kengarags
18,Pēc Pirmā pasaules kara apkaimi 1924. gadā iekļāva Rīgas pilsēta,Slāvu 17,2,45,6/9,Specpr.,"1,189 €","53,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/nmibh.html,kengarags
19,"На набережной с видом на Даугаву, 2-комнатная квартира в Кенгара",Maskavas 268 k-7,2,44,1/5,Hrušč.,791 €,"34,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/nndlj.html,kengarags
20,"Dzīvoklis ir atbrīvots, bez parādsaistībām. Savā laikā tika veik",Maskavas 429a,4,63,5/5,LT proj.,"1,063 €","67,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/bbjpgx.html,kengarags
21,"Продается 3-х комнатная квартира, литовский проект в Кенгарагсе ",Salaspils 18,3,60,2/5,LT proj.,967 €,"58,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ckbfx.html,kengarags
22,"Продаём квартиру возле променада. Светлая, тёплая, просторная. Н",Glūdas 2,2,48,5/5,LT proj.,667 €,"32,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/egeoo.html,kengarags
23,Продается 2-х комнатная солнечная квартира с хорошей энергетикой,Maskavas 417,2,50,7/9,467.,930 €,"46,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/dbeek.html,kengarags
24,Квартира с высокими потолками. Сделан ремонт Хорошее предложение,Lokomotīves 42,2,45,1/2,Staļina,889 €,"40,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/aimpp.html,kengarags
25,Продается 2-х-комнатная квартира в хорошем состоянии. Санузел ра,Višķu 3,2,43,2/5,LT proj.,860 €,"37,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/afigo.html,kengarags
26,"2 istabu dzīvoklis ar balkonu Ķengaragā, auto novietne pagalmā. ",Maskavas 258,2,48,2/5,LT proj.,760 €,"36,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/hpold.html,kengarags
27,"Tiek pārdots bīnišķīgs divistabu dzīvoklis. Ieejot pa durvīm, pa",Ikšķiles 4,2,45,4/5,LT proj.,"1,000 €","45,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/djxfm.html,kengarags
28,Владелец продает 1-комантаную квартиру в кирпичном доме. Квартир,Malnavas 18,1,26,4/5,Hrušč.,"1,077 €","28,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/dpmox.html,kengarags
29,Продаётся 2х комнатная квартира на 3 этаже в центре Кенгарагса. ,Maskavas 250/6,2,37,3/5,LT proj.,797 €,"29,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ambxl.html,kengarags
0,"Pārdodas 2 istabu dzīvoklis.  
Dzīvoklis atrodas ēkas otrajā st",Naujenes 2,2,45,2/5,LT proj.,709 €,"31,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/cifdd.html,kengarags
1,Продает хозяйка. Низкие комунальные платежи. Квартира не угловая,Višķu 19,2,45,4/5,LT proj.,811 €,"36,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/bxflo.html,kengarags
2,Pārdodam labu divistabu dzīvokli otrajā stāvā. Māja atrodas blak,Maskavas 258,2,42,2/5,LT proj.,"1,071 €","45,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/fjxdk.html,kengarags
3,"Pārdod plašu superīgu 2 istabu Studio tipa dzīvokli Rigā
Zeme i",Prūšu 17/3,2,49,3/4,LT proj.,969 €,"47,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/bbjfdl.html,kengarags
4,"Продается приватизированная квартира, без долгов и отягощений, у",Maskavas 279,2,44,3/5,LT proj.,"1,034 €","45,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/gigfi.html,kengarags
5,Pārdodas gaišs tikko kvalitatīvi izremontēts 2-istabu dzīvoklis ,Maskavas 250,2,45,2/5,LT proj.,"1,109 €","49,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ajlgn.html,kengarags
6,"Kompakts un ekonomiski izdevīgs dzīvoklis labā vietā, netālu no ",Maskavas 254/2,1,31,1/5,602.,885 €,"27,450  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/eecdk.html,kengarags
7,"Piedāvājam iegādāties nelielu, ļoti siltu un mājīgu divistabu dz",Maskavas 259,2,37,5/5,LT proj.,878 €,"32,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/admfl.html,kengarags
8,Продаётся 3-х комнатная квартира в хорошем состоянии с автономны,Višķu 5,3,60,1/5,LT proj.,917 €,"55,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/dnpgm.html,kengarags
9,Atīstītājs piedāvā iegādāties jaunajā projektā Ķengaragā 3-istab,Ķengaraga 8,3,73,3/5,Jaun.,"1,633 €","119,200  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/hxndf.html,kengarags
10,"Dzīvoklis atbrīvots, izremontēts. iestklota lodžija ar restēm, i",Aviācijas 1,2,51,1/5,LT proj.,843 €,"43,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/aomlj.html,kengarags
11,Dzīvoklī veikts kapitālais remonts pēc kura tas nav ticis apdzīv,Ikšķiles 7a,2,51,1/9,467.,972 €,"49,550  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/agpod.html,kengarags
12,Pārdod 3 istabu dzīvokli ar individuālu siltuma skaitītāju jauna,Prūšu 4,2,68,2/5,Jaun.,"1,216 €","82,716  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/bbkpbf.html,kengarags
13,"Продаётся квартира со всеми удобствами, без ремонта. Пластиковые",Maskavas 411,1,31,5/5,LT proj.,758 €,"23,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/fdjmg.html,kengarags
14,"Piedāvājam iegādāties kārtīgu 2-istabu dzīvokli ķengaragā. 

D",Aglonas 28,2,39,3/5,LT proj.,821 €,"32,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/eixlc.html,kengarags
15,"Četristabu dzīvoklis labā vietā Ķengaragā. Dzīvoklis ir kopts, l",Maskavas 291 k-4,4,60,5/5,LT proj.,975 €,"58,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/fllhi.html,kengarags
16,Pārdodu 2 istabu dzīvokli jaunajā projektā Prūšu ielā 4. Zeme īp,Prūšu 4,2,42,4/5,Jaun.,"1,258 €","52,832  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/afohg.html,kengarags
17,Pārdodu gaišu un mājīgu vienistabas dzīvokli izcilā atrašanās vi,Višķu 17,1,31,5/5,LT proj.,774 €,"24,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ajnlg.html,kengarags
18,"Īpašnieks pārdod 2 istabu dzīvokli, 3.stāvs, vidus dzīvoklis, is",Prūšu 22/4,2,42,3/5,Hrušč.,905 €,"38,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/aokhi.html,kengarags
19,"Хозяйка. Продаём 1, 5 комнатную квартиру. Комнаты изолированные.",Maskavas 321,2,39,2/5,LT proj.,"1,077 €","42,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/aobck.html,kengarags
20,"Pārdošanā tiek piedāvāts plašs dzīvoklis 
Divas istabas izolēta",Maltas 19,3,59,5/5,LT proj.,737 €,"43,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/cigix.html,kengarags
21,"Продажа от собственника. 
Квартира полностью освобождена. 
Меб",Maskavas 415,4,79,3/9,467.,899 €,"71,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/benhf.html,kengarags
22,Продается теплая и солнечная 1 - комнатная квартира с просторной,Lokomotīves 54,1,32,12/12,Čehu pr.,"1,141 €","36,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/bcoop.html,kengarags
