,Sludinājumi,Iela,Ist.,m2,Stāvs,Sērija,"Cena, m2",Cena,URL,Region
10,"Gaišs, silts un ļoti mājīgs. 

Dzīvoklim ir ērts plānojums, tā",Kaņiera 4A,3,62,3/5,LT proj.,899 €,"55,750  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/copjm.html,kengarags
11,"Piedāvājam iegādāties Plašu un gaišu 2-istabu dzīvokli. 

Diva",Maskavas 266/3,2,46,1/5,Hrušč.,891 €,"41,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/edbhc.html,kengarags
12,Piedāvājam iegādāties mājīgu 2-istabu dzīvokli ar mēbelēm un vis,Festivāla 1,2,35,3/5,Hrušč.,"1,071 €","37,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/hpfxj.html,kengarags
13,"Piedāvājam iegādāties jauku 2-istabu dzīvokli, klusā vietā ar da",Maskavas 411,2,47,5/5,LT proj.,755 €,"35,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/fojkm.html,kengarags
14,"Предлагается хорошая квартира в престижном чешском проекте, комн",Maskavas 275,2,47,10/12,Čehu pr.,"1,032 €","48,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/hcofl.html,kengarags
15,"Продаётся двухкомнатная квартира. Хорошее удобное место, Рядом 7",Lokomotīves 70а,2,37,4/5,LT proj.,865 €,"32,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/dfefi.html,kengarags
16,Jaunā tipa Lietuvas projekta mājā pārdodu dzīvokli ar balto apda,Salaspils 12,3,61,3/5,LT proj.,769 €,"46,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/bdcmk.html,kengarags
17,Steidzami. Normāla istabu dzīvokli ar divām izolētām istabām un ,Salaspils 2,3,56,4/5,Hrušč.,838 €,"46,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ccjdn.html,kengarags
18,Pēc kapitālā remonta tiek pārdots 3 istabu dzīvoklis ar divām iz,Aglonas 16,3,61,5/5,LT proj.,992 €,"60,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/adngi.html,kengarags
19,Ļoti labs dzīvoklis tuvajā Ķengaragā pie promenādes. Zeme ir īpa,Maskavas 268/2,2,47,5/5,LT proj.,"1,060 €","49,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/gbkon.html,kengarags
